Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Dead,Injured,Affected
1904-0007-TWN,1904,7,Natural,Geophysical,Earthquake,Ground movement,0,0,Affected,Taiwan (Province of China),TWN,Eastern Asia,Asia,Jiayi,0,0,0,0,0,0,0,6,Richter,23.5,120.5,14:39,0,1904,4,24,1904,4,24,3,10,0,198,208,0,0,0,3.5223001018494,GREEN,GREEN,ORANGE
1904-0009-TWN,1904,9,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Taiwan (Province of China),TWN,Eastern Asia,Asia,Jiayi,0,0,0,0,0,0,0,6,Richter,23.5,120.3,04:25,0,1904,11,6,1904,11,6,145,158,0,1983,2141,0,0,0,3.5223001018494,RED,ORANGE,RED
1905-0003-IND,1905,3,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,India,IND,Southern Asia,Asia,Kangra,0,0,0,0,0,0,0,8,Richter,32.04,76.16,06:20,0,1905,4,4,1905,4,4,20000,0,0,0,0,0,0,25000,3.5223001018494,RED,GREEN,GREEN
1905-0007-JPN,1905,7,Natural,Geophysical,Earthquake,Tsunami,0,0,Kill,Japan,JPN,Eastern Asia,Asia,Fukushima,Earthquake,Tsunami/Tidal wave,0,0,0,0,0,7,Richter,37.4,142.6,01:21,0,1907,7,7,1907,7,7,41,0,0,0,0,0,0,0,3.5223001018494,YELLOW,GREEN,GREEN
1905-0001-ITA,1905,1,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Italy,ITA,Southern Europe,Europe,"MONTELEONE, TROPEA, MONTE PORO (Calabria)",0,0,0,0,0,0,0,7,Richter,38.67,16.07,01:43,0,1905,9,8,1905,9,8,557,2000,0,20100,22100,0,0,0,3.5223001018494,RED,RED,RED
1905-0008-ALB,1905,8,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Albania,ALB,Southern Europe,Europe,Shkoder,0,0,0,0,0,0,0,7,Richter,42.1,19600,06:01,0,1905,6,1,1905,6,1,120,0,0,0,0,0,0,23800,3.5223001018494,RED,GREEN,GREEN
1905-0010-CHN,1905,10,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,Sichuan province,0,0,0,0,0,0,0,5,Richter,29.3,104.8,10:33,0,1905,11,8,1905,11,8,0,0,0,0,0,0,0,0,3.5223001018494,GREEN,GREEN,GREEN
1905-0009-JPN,1905,9,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Japan,JPN,Eastern Asia,Asia,Aki,0,0,0,0,0,0,0,8,Richter,34,132,14:39,0,1905,6,2,1905,6,2,11,0,177,0,177,0,0,0,3.5223001018494,BLUE,GREEN,YELLOW
1906-0014-CHL,1906,14,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Chile,CHL,South America,Americas,Valparaiso,0,Tsunami/Tidal wave,0,0,0,0,0,8,Richter,33.05,71.4,19:57,0,1906,8,16,1906,8,16,20000,0,0,0,0,0,0,100000,3.5223001018494,RED,GREEN,GREEN
1906-0002-COL,1906,2,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Colombia,COL,South America,Americas,Tumako,0,Tsunami/Tidal wave,0,0,No,No,0,9,Richter,1.51 ,78.46 ,0,0,1906,1,31,1906,1,31,400,0,0,0,0,0,0,0,3.5223001018494,RED,GREEN,GREEN
1906-0013-USA,1906,13,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,United States of America (the),USA,Northern America,Americas,San Francisco (California),0,Fire,0,0,0,0,0,8,Richter,37.67,-122.48,05:12,0,1906,4,18,1906,4,18,700,0,0,84564,84564,0,180000,524000,3.5223001018494,RED,GREEN,RED
1906-0001-TWN,1906,1,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Kagi, Toroku",0,0,0,0,0,0,0,7,Richter,23.6,170.5,06:42,0,1906,3,17,1906,3,17,1258,145,0,20307,20452,0,0,0,3.5223001018494,RED,ORANGE,RED
1906-0029-CHN,1906,29,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,Xinjiang province,0,0,0,0,0,0,0,8,Richter,43.5,85.5,00:21,0,1906,12,23,1906,12,23,280,0,10000,0,10000,0,0,0,3.5223001018494,RED,GREEN,RED
1906-0028-TWN,1906,28,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Taiwan (Province of China),TWN,Eastern Asia,Asia,Jiayi,0,0,0,0,0,0,0,7,Richter,23.4,120.4,19:18,0,1906,4,13,1906,4,13,15,84,0,5382,5466,0,0,0,3.5223001018494,BLUE,YELLOW,RED
1907-0006-CHN,1907,6,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,Tien Shan,0,0,0,0,0,0,0,7,Richter,38.5,69.9,09:23,0,1907,10,21,1907,10,21,12000,0,0,0,0,0,0,0,3.6527556611772,RED,GREEN,GREEN
1907-0004-JAM,1907,4,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Jamaica,JAM,Caribbean,Americas,Kingston,0,0,0,0,0,0,0,7,Richter,18.2,-76.8,16:28,0,1907,1,14,1907,1,14,1200,0,90000,0,90000,0,0,30000,3.6527556611772,RED,GREEN,RED
1908-0007-ITA,1908,7,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Italy,ITA,Southern Europe,Europe,"Messina, Regio, Calabria, Sicilia",0,Tsunami/Tidal wave,0,0,0,0,0,7,Richter,38.17,15.58,05:20,0,1908,12,28,1908,12,28,75000,0,150000,0,150000,0,0,116000,3.5223001018494,RED,GREEN,RED
1908-0006-ROU,1908,6,Natural,Geophysical,Earthquake,Ground movement,0,0,OFDA,Romania,ROU,Eastern Europe,Europe,0,0,0,0,0,0,0,0,0,Richter,,,0,0,1908,10,6,1908,10,6,0,0,0,0,0,0,0,0,3.5223001018494,GREEN,GREEN,GREEN
1909-0009-FRA,1909,9,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,France,FRA,Western Europe,Europe,"Lambesc, Saint-Cannat, Rognes, Vernegues, Charleval, La Roque d'Antheron (Haute-Provence)",0,0,0,0,0,0,0,6,Richter,44.05,6.14,21:15,0,1909,6,11,1909,6,11,46,0,0,0,0,0,0,0,3.5223001018494,YELLOW,GREEN,GREEN
1909-0007-IRN,1909,7,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Boroujerd, Silakor",0,0,0,0,0,0,0,8,Richter,33.55,48.48,16:18,0,1909,1,23,1909,1,23,5000,0,0,0,0,0,0,0,3.5223001018494,RED,GREEN,GREEN
1909-0014-MAR,1909,14,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Morocco,MAR,Northern Africa,Africa,"Tetouan, Romars",0,0,0,0,0,0,0,0,Richter,35.34,-5.22,0,0,1909,1,29,1909,1,29,100,0,0,0,0,0,0,0,3.5223001018494,ORANGE,GREEN,GREEN
1909-0020-CHN,1909,20,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,Yunnan province,0,0,0,0,0,0,0,7,Richter,24.4,103,22:30,0,1909,5,11,1909,5,11,21,0,0,0,0,0,0,0,3.5223001018494,BLUE,GREEN,GREEN
1909-0021-JPN,1909,21,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Japan,JPN,Eastern Asia,Asia,Oomi,0,Tsunami/Tidal wave,0,0,0,0,0,7,Richter,35.4,136.3,15:30,0,1909,8,14,1909,8,14,41,0,0,2928,2928,0,0,0,3.5223001018494,YELLOW,GREEN,RED
1909-0022-PAK,1909,22,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Pakistan,PAK,Southern Asia,Asia,0,0,0,0,0,0,0,0,7,Richter,30,68,05:11,0,1909,10,21,1909,10,21,231,0,0,0,0,0,0,0,3.5223001018494,RED,GREEN,GREEN
1909-0019-PRT,1909,19,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Portugal,PRT,Southern Europe,Europe,"Ribatejo, Benavente",0,0,0,0,0,0,0,7,Richter,38.9,-8.8,17:02,0,1909,4,23,1909,4,23,30,0,0,0,0,0,0,0,3.5223001018494,BLUE,GREEN,GREEN
1909-0018-TWN,1909,18,Natural,Geophysical,Earthquake,Ground movement,0,0,Affected,Taiwan (Province of China),TWN,Eastern Asia,Asia,Tapei,0,0,0,0,0,0,0,7,Richter,25,121.5,03:53,0,1909,4,15,1909,4,15,9,51,0,366,417,0,0,0,3.5223001018494,GREEN,YELLOW,RED
1910-0004-CRI,1910,4,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Costa Rica,CRI,Central America,Americas,Cartago,0,0,0,0,0,0,0,0,Richter,9.8,-84,0,0,1910,4,13,1910,4,13,1750,0,0,0,0,0,0,0,3.6527556611772,RED,GREEN,GREEN
1910-0005-DZA,1910,5,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Algeria,DZA,Northern Africa,Africa,"Kabylie, Masqueray",0,0,0,0,0,0,0,6,Richter,36,4,13:36,0,1910,6,24,1910,6,24,12,0,0,0,0,0,0,0,3.6527556611772,BLUE,GREEN,GREEN
1910-0024-CRI,1910,24,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Costa Rica,CRI,Central America,Americas,"Cartago, San Jose",0,0,0,0,0,0,0,0,Richter,10,-84,18:13,0,1910,5,4,1910,5,4,700,0,0,0,0,0,0,0,3.6527556611772,RED,GREEN,GREEN
1910-0023-TWN,1910,23,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Taiwan (Province of China),TWN,Eastern Asia,Asia,0,0,0,0,0,0,0,0,8,Richter,25.5,122.5,08:22,0,1910,4,12,1910,4,12,60,0,0,0,0,0,0,0,3.6527556611772,ORANGE,GREEN,GREEN
1911-0022-IRN,1911,22,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Ravar,0,0,0,0,0,0,0,7,Richter,32.23,57.03,21:44,0,1911,4,18,1911,4,18,700,0,0,0,0,0,0,0,3.6527556611772,RED,GREEN,GREEN
1911-0024-JPN,1911,24,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Japan,JPN,Eastern Asia,Asia,Ryukyu Islands,0,0,0,0,0,0,0,8,Richter,28,130,23:26,0,1911,6,15,1911,6,15,12,0,0,1266,1266,0,0,0,3.6527556611772,BLUE,GREEN,RED
1911-0020-KAZ,1911,20,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Kazakhstan,KAZ,Central Asia,Asia,"Alma-Ata, Turkestan",0,0,0,0,0,0,0,8,Richter,43.5,77.5,05:25,0,1911,1,4,1911,1,4,450,0,0,0,0,0,0,0,3.6527556611772,RED,GREEN,GREEN
1911-0023-MEX,1911,23,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Mexico,MEX,Central America,Americas,Michoacan,0,0,0,0,0,0,0,8,Richter,17.5,-102.5,04:25,0,1911,6,7,1911,6,7,45,22,0,0,22,0,0,0,3.6527556611772,YELLOW,BLUE,GREEN
1911-0021-TJK,1911,21,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Tajikistan,TJK,Central Asia,Asia,"Usoy, Barchidiv, Posor, Nisur",0,0,0,0,0,0,0,7,Richter,38.2,72.8,23:41,0,1911,2,18,1911,2,18,90,0,0,0,0,0,0,0,3.6527556611772,ORANGE,GREEN,GREEN
1912-0006-TUR,1912,6,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,"Murefte Sarkoy, marmara sea",0,Tsunami/Tidal wave,0,0,0,0,0,8,Richter,40.41,27.15,04:29,0,1912,8,9,1912,8,9,923,1575,0,16620,18195,0,0,0,3.7832112205049,RED,RED,RED
1913-0009-PER,1913,9,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Peru,PER,South America,Americas,"Albancay, Amyares, Casaya, Soraya",0,0,0,0,0,0,0,6,Richter,-14.2,-72.9,16:33,0,1913,11,4,1913,11,4,150,0,0,0,0,0,0,0,3.8745301120344,RED,GREEN,GREEN
1913-0008-ROU,1913,8,Natural,Geophysical,Earthquake,Ground movement,0,0,OFDA,Romania,ROU,Eastern Europe,Europe,Tirnovo,0,0,0,0,0,0,0,7,Richter,43.5,25.5,12:33,0,1913,6,14,1913,6,14,0,0,0,0,0,0,0,0,3.8745301120344,GREEN,GREEN,GREEN
1913-0028-CHN,1913,28,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,Yunnan province,0,0,0,0,0,0,0,7,Richter,24.15,102.45,23:37,0,1913,12,21,1913,12,21,942,112,0,0,112,0,0,0,3.8745301120344,RED,ORANGE,YELLOW
1913-0027-IDN,1913,27,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Sangihe Isl.,0,Tsunami/Tidal wave,0,0,0,0,0,8,Richter,5.354,126.121,15:45,0,1913,3,14,1913,3,14,138,0,0,0,0,0,0,0,3.8745301120344,RED,GREEN,GREEN
1914-0022-IDN,1914,22,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Kepahyang, Bengkulu (Sumatera)",0,Tsunami/Tidal wave,0,0,0,0,0,8,Richter,-3.924,101.82,03:07,0,1914,6,26,1914,6,26,20,20,0,0,20,0,0,0,3.9267123357654,BLUE,GREEN,GREEN
1914-0025-JPN,1914,25,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Japan,JPN,Eastern Asia,Asia,Akita Senboku,0,0,0,0,0,0,0,7,Richter,39.2,139.8,05:00,0,1914,3,16,1914,3,16,94,0,0,1920,1920,0,0,0,3.9267123357654,ORANGE,GREEN,RED
1914-0030-GRC,1914,30,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Greece,GRC,Southern Europe,Europe,Leukas Isl.,0,Tsunami/Tidal wave,0,0,0,0,0,6,Richter,38.8,20.6,17:39,0,1930,11,27,1930,11,27,14,0,0,0,0,0,0,0,3.9267123357654,BLUE,GREEN,GREEN
1914-0028-ITA,1914,28,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Italy,ITA,Southern Europe,Europe,"Catania, Etna",0,0,0,0,0,0,0,5,Richter,37.7,15.2,19.01,0,1914,5,8,1914,5,8,120,0,0,669,669,0,0,0,3.9267123357654,RED,GREEN,RED
1914-0031-PER,1914,31,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Peru,PER,South America,Americas,"Pararca, Paysa, Colta, Oyala",0,0,0,0,0,0,0,0,Richter,-15.2,-73.2,18:55,0,1914,12,2,1914,12,2,34,0,0,0,0,0,0,0,3.9267123357654,YELLOW,GREEN,GREEN
1914-0029-TUR,1914,29,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,"Burdur, Kilinc, Keciborlu, Isparta",0,0,0,0,0,0,0,7,Richter,37.82,30.27,01:06,0,1914,10,4,1914,10,4,4000,700,0,51000,51700,0,0,0,3.9267123357654,RED,RED,RED
1915-0002-ITA,1915,2,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Italy,ITA,Southern Europe,Europe,"Avezzano, Marsica (Abruzze)",0,0,0,0,0,0,0,8,Richter,42.02,13.26,07:52,0,1915,1,13,1915,1,13,29980,0,0,0,0,0,0,60000,3.9658490035638,RED,GREEN,GREEN
1915-0004-USA,1915,4,Natural,Geophysical,Earthquake,Ground movement,0,0,Declar,United States of America (the),USA,Northern America,Americas,El Centro (California),0,0,0,0,0,0,0,6,Richter,32.47,-115.33,20:56,0,1915,6,22,1915,6,22,6,0,0,0,0,0,0,1000,3.9658490035638,GREEN,GREEN,GREEN
1915-0014-CHN,1915,14,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,0,0,0,0,0,0,0,0,7,Richter,29.5,91.5,08:29,0,1915,12,3,1915,12,3,170,0,0,0,0,0,0,0,3.9658490035638,RED,GREEN,GREEN
1916-0015-TWN,1916,15,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Taiwan (Province of China),TWN,Eastern Asia,Asia,0,0,0,0,0,0,0,0,7,Richter,23.7,120.9,15:27,0,1916,8,28,1916,8,28,180,0,0,1842,1842,0,0,0,4.2658967900176,RED,GREEN,RED
1916-0016-TWN,1916,16,Natural,Geophysical,Earthquake,Ground movement,0,0,Affected,Taiwan (Province of China),TWN,Eastern Asia,Asia,0,0,0,0,0,0,0,0,6,Richter,24,121,06:31,0,1916,11,15,1916,11,15,1,20,0,291,311,0,0,0,4.2658967900176,GREEN,GREEN,RED
1917-0014-CHN,1917,14,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,Yunnan province,0,0,0,0,0,0,0,7,Richter,28,104,07:00,0,1917,7,31,1917,7,31,1800,0,0,0,0,0,0,0,5.0225390341186,RED,GREEN,GREEN
1917-0009-GTM,1917,9,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Guatemala,GTM,Central America,Americas,Guatemala city,0,0,0,0,0,0,0,6,Richter,14.38,-90.22,22:27,0,1917,12,25,1917,12,25,2650,0,0,0,0,0,0,0,5.0225390341186,RED,GREEN,GREEN
1917-0003-IDN,1917,3,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Bali,0,0,0,0,0,0,0,7,Richter,-7,116,07:08,0,1917,1,21,1917,1,21,15000,0,0,0,0,0,0,0,5.0225390341186,RED,GREEN,GREEN
1917-0021-TWN,1917,21,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Taiwan (Province of China),TWN,Eastern Asia,Asia,Puli,0,0,0,0,0,0,0,6,Richter,23.9,120.9,0,0,1917,1,5,1917,1,5,54,85,0,390,475,0,0,0,5.0225390341186,ORANGE,YELLOW,RED
1918-0020-CHN,1918,20,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,Kwangtung (Guangdong),0,Tsunami/Tidal wave,0,0,0,0,0,7,Richter,23.5,117,14:07,0,1918,2,13,1918,2,13,10000,0,0,0,0,0,0,0,5.8965912816145,RED,GREEN,GREEN
1918-0011-PHL,1918,11,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Mindanao, South Cotabato",0,Tsunami/Tidal wave,"Slide (land, mud, snow, rock)",0,0,0,0,8,Richter,8.29,124.4,20:18,0,1918,8,15,1918,8,15,100,0,0,0,0,0,0,0,5.8965912816145,ORANGE,GREEN,GREEN
1918-0008-PRI,1918,8,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Puerto Rico,PRI,Caribbean,Americas,Mona Passage,0,Tsunami/Tidal wave,0,0,0,0,0,8,Richter,18.06,-67.54,10:14,0,1918,10,11,1918,10,11,116,0,0,0,0,0,0,29000,5.8965912816145,RED,GREEN,GREEN
1920-0007-CHN,1920,7,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,"Gansu, Shanxi provinces",0,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,0,0,0,0,9,Richter,36.888,105.606,19:11,0,1920,12,16,1920,12,16,180000,0,0,0,0,0,0,25000,7.8534246715309,RED,GREEN,GREEN
1920-0014-ITA,1920,14,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Italy,ITA,Southern Europe,Europe,"Carrara, Farfagnana",0,0,0,0,0,0,0,6,Richter,44.3,10.3,06:55,0,1920,9,7,1920,9,7,1400,0,0,0,0,0,0,0,7.8534246715309,RED,GREEN,GREEN
1920-0018-ALB,1920,18,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Albania,ALB,Southern Europe,Europe,"Tepelen, Dragoti, Peshtani, Maricaj",0,0,0,0,0,0,0,6,Richter,40.2,20,09:51,0,1920,11,26,1920,11,26,200,0,0,0,0,0,0,0,7.8534246715309,RED,GREEN,GREEN
1920-0019-ARG,1920,19,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Argentina,ARG,South America,Americas,Mendoza,0,0,0,0,0,0,0,6,Richter,-32.7,-68.4,14:42,0,1920,12,17,1920,12,17,400,0,0,0,0,0,0,0,7.8534246715309,RED,GREEN,GREEN
1920-0017-MEX,1920,17,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Mexico,MEX,Central America,Americas,"Veracruz, Cozaultlan, Puebla, Patlanala",0,0,0,0,0,0,0,8,Richter,19.26,-96.97,15:11,0,1920,1,3,1920,1,3,648,167,0,0,167,0,0,0,7.8534246715309,RED,ORANGE,YELLOW
1922-0001-CHL,1922,1,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Chile,CHL,South America,Americas,Atacama,0,Tsunami/Tidal wave,0,0,0,0,0,9,Richter,-28.553,-70.755,00:32,0,1922,11,11,1922,11,11,1000,0,0,0,0,0,0,0,6.5619146341861,RED,GREEN,GREEN
1922-0015-JPN,1922,15,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Japan,JPN,Eastern Asia,Asia,Kyushu,0,0,0,0,0,0,0,0,Richter,32.7,130.3,0,0,1922,12,8,1922,12,8,27,0,0,0,0,0,0,0,6.5619146341861,BLUE,GREEN,GREEN
1922-0014-TWN,1922,14,Natural,Geophysical,Earthquake,Ground movement,0,0,Affected,Taiwan (Province of China),TWN,Eastern Asia,Asia,0,0,Tsunami/Tidal wave,0,0,0,0,0,8,Richter,24.5,122,0,0,1922,9,2,1922,9,2,5,0,0,417,417,0,0,0,6.5619146341861,GREEN,GREEN,RED
1923-0019-CHN,1923,19,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,Sichuan,0,0,0,0,0,0,0,7,Richter,31.295,100.75,19:46,0,1923,3,24,1923,3,24,5000,0,0,0,0,0,0,0,6.6793246375811,RED,GREEN,GREEN
1923-0006-JPN,1923,6,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Japan,JPN,Eastern Asia,Asia,"Kanto plaine (Yokohama,Tokyo)",0,Fire,Tsunami/Tidal wave,0,0,0,0,8,Richter,35.413,139.298,11:58,0,1923,9,1,1923,9,1,143000,103733,100000,0,203733,0,0,600000,6.6793246375811,RED,RED,RED
1923-0020-IRN,1923,20,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Turbat-Haklari,0,0,0,0,0,0,0,6,Richter,35.2,59.2,01:51,0,1923,5,26,1923,5,26,2200,0,0,0,0,0,0,0,6.6793246375811,RED,GREEN,GREEN
