Severity,Affected sq km,Magnitude (M),Centroid X,Centroid Y,Dead
1,1416.82,6,112.952,23.867,GREEN
1.5,79149.2,6.1,-74.458,45.5748,GREEN
1.5,13333.9,6.1,-81.5814,34.9912,GREEN
1.5,48298.66,6.6,-91.1819,37.5744,GREEN
1.5,24676.67,5.6,-69.853,18.9198,GREEN
1,37654.52,5.8,89.5446,25.311,GREEN
1.5,397487.68,6.7,7.468,51.2542,GREEN
1.5,273962.64,6.8,-62.6279,-27.4231,GREEN
2,487.87,5.8,46.1693,37.743,BLUE
1.5,27377.3,5.8,-67.9388,-45.9533,GREEN
2,2353.76,5.9,176.79,-38.242,GREEN
1,2445.78,5.6,33.8718,-1.3642,GREEN
1,16281.3,5.5,9.6828,24.3178,GREEN
2,258485.66,6.8,148.682,-21.975,GREEN
1,242.58,5.7,13.6563,-8.71752,GREEN
2,28634.32,5.7,-76.1131,2.1871,RED
1,248928.28,6.5,17.462,-2.5698,RED
1,75112.79,5.6,-116.123,45.5453,RED
1,2821.28,5.4,-1.33823,38.498,RED
1,18863.13,5.1,29.8386,-1.9573,GREEN
1,138.28,6.1,15.76,-31.6956,GREEN
2,81942.34,7.9,-75.1481,-11.42,YELLOW
1.5,16376.91,6.6,29.22,-18.6428,RED
1,128596.78,6.1,-72.6737,3.72258,GREEN
1,4253.83,5.6,17.162,-7.293,GREEN
1,226179.81,6.5,3.5561,-27.2717,GREEN
2,183781.3,6.5,-7.2489,-3.9395,GREEN
1.5,126994.99,6.5,-12.825,38.84,GREEN
1,7889.78,6.1,12.461,3.93172,GREEN
1,117321.46,6.6,-76.2863,1.6911,GREEN
1,288499.13,6.3,-77.573,-5.2583,GREEN
1.5,3389.11,5.5,124.62,7.5946,GREEN
1.5,12896.69,6.9,34.5151,-2.7778,GREEN
1,74443.11,5.2,-119.43,35.839,GREEN
1,13364.22,5.3,-85.3672,15.585,GREEN
1,46236.69,5.4,125.27,8.8572,GREEN
1,386846.74,6.8,-55.5512,-29.494,GREEN
1.5,1747.26,5.5,-122.458,39.6236,GREEN
1.5,18991.85,5.1,9.58328,54.753,GREEN
1.5,52.11,6.5,1.61,7.3494,YELLOW
1.5,4358.48,5.6,12.411,4.729,YELLOW
1,9922.22,6,34.2182,38.4787,GREEN
1.5,44341.22,6.1,17.85,15.4331,GREEN
1.5,1155717.36,7.3,133.489,-21.5215,GREEN
1.5,445992.61,6.9,-59.871,-33.778,GREEN
1.5,162268.82,6.7,14.723,-5.34759,GREEN
1,36417.46,5.6,27.3395,38.751,GREEN
1,2485.81,5.3,12.56,5.12197,GREEN
1.5,67395.39,5.8,1.753,14.4448,GREEN
1.5,37984.59,5.7,18.572,12.734,GREEN
1,31195.25,6.2,-65.894,-12.843,GREEN
1,22578.75,5.2,-76.4842,2.8694,GREEN
1.5,6882.43,5.7,-4.4866,37.61,GREEN
1.5,69965.95,6.2,-85.1445,11.67,GREEN
1.5,16543.1,5,19.4463,42.2541,GREEN
1,3798.38,5.1,-7.1252,18.9199,GREEN
1,4534.1,4.4,-72.5871,19.7388,GREEN
1,322162.36,6.4,-99.7926,23.273,GREEN
1,11225.49,5.3,123.245,0.64869,GREEN
1.5,281856.22,7.1,-55.6697,-34.6637,GREEN
1.5,2826.17,5.7,34.7625,24.3954,GREEN
2,63641.54,6.6,17.68,16.38,GREEN
1,11391.29,6.3,14.219,-34.2934,GREEN
1,57182.5,5.7,27.5622,45.151,GREEN
1,13988.78,4.8,2.1111,41.5692,GREEN
1,19889.49,5,31.3479,47.2563,GREEN
1.5,137435.4,6.7,8.341,17.6536,GREEN
1.5,25537.31,5.5,128.528,35.829,GREEN
1.5,17187.43,5.5,1.395,14.8667,GREEN
2,138622.34,6.5,-8.8949,33.316,YELLOW
1,22329.12,5.2,-14.964,23.6723,GREEN
1,1718.71,4.5,-61.5887,45.5679,GREEN
1.5,6342.41,7.1,139.898,-33.2769,GREEN
1.5,2422.1,5.1,22.2918,37.418,GREEN
1.5,52546.1,6.2,128.813,41.836,ORANGE
1.5,35538.59,6.5,117.629,26.95,GREEN
1.5,139834.53,5.8,137.374,36.272,GREEN
1,32276.1,5,18.238,-7.4186,GREEN
1,92386.25,5.9,-82.7443,29.656,GREEN
1,127233.91,6.1,-93.847,17.711,GREEN
1.5,41985.87,5.8,5.957,15.485,GREEN
1,6228.18,5.9,96.8687,26.3474,GREEN
1.5,17367.94,4.9,-91.7757,43.44,GREEN
2,19554.2,5.7,-91.85,29.9879,GREEN
1.5,17884.1,5.6,9.5344,27.1694,GREEN
2,4161.4,4.2,-77.2142,39.3339,GREEN
1,1618.16,4.8,123.517,7.96266,GREEN
1.5,9613.74,7,85.1898,25.699,ORANGE
1.5,377732.88,6.2,73.4119,21.7477,GREEN
1.5,45667.11,6.4,9.395,24.95,BLUE
1,22841.14,5.4,32.2882,-27.595,GREEN
1,19126.21,7.1,5.71366,15.986,BLUE
1,27186.66,5.3,146.752,-41.893,BLUE
1.5,1673.23,6.8,8.8349,22.817,GREEN
1,16148.18,5.2,122.35,-3.91272,GREEN
1,366.9,4.9,11.75,5.1723,GREEN
1,69294.34,5.9,-9.437,16.779,GREEN
1,541381.54,7.4,29.5664,12.17,ORANGE
1.5,8685.95,5.6,86.311,27.584,GREEN
1.5,31431.28,5.3,72.7933,36.138,GREEN
1.5,135742.3,7.1,93.949,27.68,GREEN
2,72844.3,7.7,114.239,27.9757,ORANGE
1,39617.88,5.4,34.2429,12.5198,ORANGE
2,5742.99,5.4,-8.5545,38.9452,GREEN
1.5,789275.7,6.9,145.663,-25.1971,GREEN
2,12166.9,6.7,2.99188,48.641,GREEN
2,93839.67,7.2,95.264,18.3158,GREEN
1.5,39127.45,5.7,11.32,-7.47687,BLUE
1.5,1848.56,4.7,13.99,32.631,GREEN
1,17699.51,6.1,-123.249,58.2924,GREEN
1,7456.4,5.9,-1.1653,6.41411,GREEN
1.5,91554.92,5.7,1.217,48.468,GREEN
1.5,16371.39,6.9,-95.5367,3.8574,GREEN
1,8319.4,6.6,47.353,51.3145,GREEN
1.5,84214.63,6.7,35.9997,-6.89427,GREEN
1.5,19779.53,7.1,112.952,24.7532,GREEN
1.5,7517.68,6.1,95.668,27.464,GREEN
1.5,23311.63,5.1,-71.1644,18.9942,GREEN
1.5,18269.24,5.2,3.118,-2.565,BLUE
1,117235.21,11.4,38.3442,-4.71451,BLUE
1,59745.82,5.4,13.978,-8.3214,GREEN
2,126653.11,6.9,-56.1946,-32.4347,GREEN
1.5,183448.3,7.3,59.829,61.9672,GREEN
2,448237.11,6.7,-95.7347,32.475,GREEN
1,134747.93,5.9,53.5676,21.311,GREEN
2,518692.93,7.1,-58.2235,-31.1431,GREEN
1,97755.61,5.9,45.8476,9.16597,GREEN
1,5718.65,5.7,33.8223,-11.5543,GREEN
1.5,2442.48,6.6,41.697,9.26816,GREEN
2,39333.76,5.4,172.213,-42.169,GREEN
1,75626.23,5.6,11.669,-1.64626,GREEN
1,19929,6.6,-63.1227,-28.5633,GREEN
1.5,111748.39,6.7,71.7788,33.545,ORANGE
1.5,383223.81,6.6,113.991,24.741,GREEN
2,24862.8,7,-96.158,3.986,GREEN
1.5,74128.3,5.8,-122.284,38.665,GREEN
1,19581.43,6.4,-64.929,-12.843,GREEN
1.5,16442.45,5.1,21.546,44.671,GREEN
1,27715.44,6.4,16.564,-11.5936,GREEN
1,18576.38,6,142.5,-21.5756,GREEN
1.5,35884.52,5.6,172.831,-41.9712,GREEN
1,235818.78,7.1,13.352,-2.46543,GREEN
1.5,1526.5,5,177.928,-17.7754,GREEN
1.5,1434.11,4.8,-3.83733,55.1834,GREEN
1.5,3723.28,5.1,145.712,-41.858,GREEN
1.5,69541.98,6.1,-79.79,-0.786333,GREEN
1,11514.83,6.4,-56.442,-17.9555,GREEN
1,18222.9,6.5,35.548,-4.76168,GREEN
1.5,17923.55,6.5,-49.5633,-24.17,GREEN
1,53196.42,5.9,-43.229,-22.5227,GREEN
1,8571.64,6.3,39.4638,-12.351,GREEN
1.5,12448.8,4.9,-74.6532,39.9212,GREEN
2,3675.19,6.6,-2.77486,54.9868,GREEN
1.5,6147.67,5.4,121.229,12.8357,GREEN
1.5,13769.52,6.8,39.5133,-2.3643,ORANGE
1,66654.94,6,152.121,-3.3571,ORANGE
2,57456.99,7.8,-55.8482,-26.369,GREEN
2,526834.76,7.7,-91.829,35.6658,BLUE
1,1149.69,5.2,19.9659,41.2871,GREEN
1.5,6371.38,5,73.1892,-0.144295,GREEN
1,439381.83,6.6,-1.238,33.9839,GREEN
1,42659.81,6.6,51.885,21.6586,GREEN
2,9322.5,6.7,78.8554,11.8278,GREEN
1,56237.12,5.5,98.428,3.66137,GREEN
1,129124.64,6,21.698,39.769,GREEN
1.5,4639.41,4.7,-73.8324,22.4916,GREEN
1.5,8231.84,4.8,3.4819,31.422,GREEN
1,438557.45,6.8,45.422,4.7359,GREEN
1,92984.74,6.1,-6.9551,28.3337,GREEN
1.5,1432949.6,7.1,-11.772,28.3812,GREEN
2,392899.19,7.1,-53.5718,-29.9568,GREEN
2,8271.75,6.1,121.241,16.691,YELLOW
1.5,441.218,3.1,28.7321,44.6422,YELLOW
1,837.216,4,177.922,-38.6637,YELLOW
2,623.19,4.4,-9.6128,14.8262,GREEN
1.5,2895.95,4.3,6.532,43.3765,GREEN
2,61355.23,6.2,-8.4927,33.533,GREEN
1.5,186816.2,6.6,11.5284,9.95267,GREEN
1,192886.73,6,14.762,2.5669,GREEN
2,52859.22,5.5,14.46,36.9375,GREEN
1.5,686734.83,7.4,2.4971,14.8417,GREEN
1,133852.96,6.1,-59.871,-35.186,GREEN
1.5,6377.6,5.5,-55.6997,-32.6329,GREEN
1,6919.14,6.3,93.751,26.8946,GREEN
1,9791.46,4.6,125.52,7.39149,GREEN
1.5,53741.1,5.5,112.531,35.925,GREEN
1,22455.5,5.4,-13.4378,1.395,GREEN
1,5957.41,4.3,21.197,41.7575,GREEN
2,296423.97,7.3,95.5326,2.1747,YELLOW
2,629961.61,7.7,82.6165,26.274,GREEN
1.5,28652.69,5.7,-58.273,-25.451,GREEN
2,24336.74,5.8,16.865,2.8137,GREEN
1.5,19391.2,5.9,-113.587,34.1148,GREEN
1,16151.8,5.2,12.796,15.559,GREEN
1,77668.3,6.8,54.377,33.364,GREEN
1,69931.31,6.9,-5.751,-25.5689,GREEN
1.5,3931.23,5.4,-58.7431,6.66576,GREEN
1.5,44261.7,5.4,-83.165,38.3887,GREEN
1.5,56196.1,5.8,73.1149,38.626,GREEN
1.5,13739.96,6.9,72.2737,34.3432,ORANGE
1,4726.19,4.6,9.88421,3.94741,ORANGE
1.5,73485.14,5.7,72.8428,35.129,GREEN
1.5,16754.38,5.4,-83.8331,1.1743,GREEN
1.5,6346.62,4.8,13.525,21.3114,GREEN
1,161572.75,5.7,-84.7486,39.3942,GREEN
1.5,5567.64,4.6,39.341,44.1285,GREEN
1.5,43781.56,5.6,7.7643,21.8734,YELLOW
1.5,8948.6,5,175.231,-39.8648,YELLOW
1.5,1258.17,5.1,91.9942,22.479,YELLOW
1,1234.28,4.9,87.3919,27.4682,GREEN
1.5,1322.99,4.8,44.5362,42.683,GREEN
1.5,26695.9,6.7,-0.546442,7.385,GREEN
1.5,6437.23,6.4,93.8747,26.9195,GREEN
1,242622.13,6.7,81.5277,58.191,GREEN
1,19785.35,5.3,22.869,46.8147,GREEN
1,32595.44,5.6,73.2634,37.8142,GREEN
1.5,224189.77,6.2,-72.9212,-44.133,GREEN
1.5,194128.66,6.6,36.895,-5.617,GREEN
1.5,7484.7,5,175.355,-41.92,GREEN
2,849464.57,8,-97.9863,34.1936,BLUE
1,14179.41,4.9,79.1771,1.7121,GREEN
2,14968.57,6.8,-74.548,5.7693,YELLOW
1.5,247569.94,7.3,114.981,27.326,YELLOW
1.5,2432.58,5.3,36.2471,-0.795186,GREEN
2,192631.23,5.9,15.513,-25.9441,GREEN
1.5,45353.51,7.3,-67.7993,-6.9785,GREEN
1.5,21148.15,5,71.891,33.5131,BLUE
2,175487.7,6.5,15.612,-33.3812,GREEN
1,3672.34,4,-72.1912,18.685,GREEN
1,213897.13,6.7,65.5929,48.449,GREEN
1.5,68755.39,6.6,47.16,-18.1557,GREEN
1.5,145834.77,6.4,11.676,27.9271,GREEN
1.5,7287.98,6.1,76.458,33.1767,BLUE
2,154773.16,6.7,-68.888,-22.3617,GREEN
1,173696.63,7,-68.9127,-9.12272,GREEN
1.5,32934.83,5.7,35.189,0.4848,GREEN
1.5,16895.6,6.4,-67.725,-7.6858,GREEN
1.5,47.2,6.1,33.748,-4.31417,BLUE
1.5,1252.79,5.4,13.6811,-8.81664,BLUE
1.5,12133.31,5.4,13.879,-12.1145,GREEN
1,71.53,4.8,18.399,-6.55868,GREEN
1.5,5687.12,6.1,-86.2332,37.268,GREEN
1,6978.86,5.8,-13.43,19.4811,GREEN
1.5,349365.45,6.7,-63.5929,-32.389,GREEN
1,11588.13,4.8,-69.835,19.3285,GREEN
1.5,445272.72,6.3,135.716,-18.2,GREEN
1.5,48737.75,6.6,-65.8445,-11.542,GREEN
1.5,277594.75,7.2,45.9218,-19.6675,GREEN
1.5,12223.1,6,145.675,-17.873,GREEN
1,1863.44,5,122.862,0.68673,GREEN
1.5,15114.52,6.3,26.5972,41.4571,GREEN
1.5,137629.71,6.9,-63.7661,-16.4638,GREEN
2,485939.39,7.6,35.3564,-18.7946,RED
1.5,1519623.45,7.2,127.56,-19.1872,GREEN
1.5,63967.39,6.3,124.93,8.6568,YELLOW
2,968.38,6.4,12.164,4.7258,BLUE
1.5,5316.81,6,8.9834,7.9972,BLUE
1.5,469.51,7.5,-75.544,4.59198,BLUE
1,7255.56,5.4,-123.11,39.7967,GREEN
1,19987.2,6,-49.2145,-24.8513,GREEN
1.5,147616.57,6.4,27.716,41.4579,GREEN
1.5,2861.66,4.6,34.4532,31.3378,GREEN
1.5,123269.25,6.1,0.863937,43.999,GREEN
1,22666.27,6,-117.212,35.4299,GREEN
2,273693.63,6.8,-5.61886,31.5566,GREEN
1,31653.8,5.5,99.5163,8.249,GREEN
1.5,36733.48,5.4,1.6129,45.9281,GREEN
1,57442.62,5.2,1.753,-1.2615,GREEN
1.5,3679.7,5.3,5.957,44.2452,GREEN
1,4855.4,4.2,23.4176,38.1738,GREEN
1.5,42635.81,6.2,45.2538,4.13428,GREEN
1,115476.31,5.8,78.2616,1.2916,GREEN
1,7566.97,4.5,-16.5329,28.2782,GREEN
1.5,376261.49,7,79.6967,18.4473,BLUE
1.5,187176.3,6.4,-98.4317,21.7845,GREEN
1,388189.52,6.7,31.1747,6.69427,GREEN
1,8447.1,4.2,-8.461,26.9326,GREEN
1.5,221816.2,6.6,-87.5693,13.8455,GREEN
1.5,7961.87,5.6,-85.6393,12.6289,GREEN
1,6229.19,4.1,9.17775,44.6146,GREEN
1,78132.47,6.8,25.2115,-7.986,GREEN
1,31695.74,5.4,117.183,6.74,GREEN
1.5,3855.3,6,121.612,14.6575,GREEN
1.5,61894.97,6.2,92.4891,26.7465,YELLOW
1,3365.71,4.5,166.967,-15.3154,GREEN
1,14387.31,6.5,32.968,6.94173,GREEN
1.5,55272.31,5.8,18.35,3.7799,BLUE
1,34449.25,5.4,1.457,16.439,BLUE
1,784.96,4.5,27.4879,42.6219,GREEN
1.5,3558.4,5.8,128.392,36.51,GREEN
1,22658.51,5.6,-8.9628,8.23894,GREEN
1,13399.5,5.3,-69.754,19.682,GREEN
2,253686.93,7.3,75.3419,33.9449,GREEN
1.5,35999.91,6,9.6333,24.5661,GREEN
2,11462.27,5.4,-83.3134,42.5291,GREEN
1,4429.91,6,94.6542,27.6132,GREEN
1,35748.91,6.4,6.4648,16.3273,GREEN
1.5,6265.8,6.4,86.2537,26.1795,GREEN
1,65176.82,5.8,17.83,-7.44,GREEN
1.5,387775.13,6.7,114.164,25.479,GREEN
1.5,17474.39,6.7,79.7586,27.3852,BLUE
1.5,55212.66,6.4,81.9731,28.9832,GREEN
2,76116.81,5.8,136.31,35.7986,GREEN
1.5,5177.21,5.9,143.399,-6.682,GREEN
2,82764.22,6.3,17.58,21.4955,BLUE
2,224475.55,6.6,156.129,62.7394,BLUE
1,189576.5,6.3,84.1258,2.7752,GREEN
1.5,64187.55,7.7,31.15,1.2137,YELLOW
2,44866.46,6.4,-58.256,-32.3467,GREEN
1.5,11578.77,5.4,84.627,28.4737,GREEN
1.5,217.529,2.8,9.5498,22.3313,GREEN
1,295.82,4.1,-134.446,58.1993,GREEN
2,256564.57,7.5,-59.5597,-2.92934,GREEN
1.5,137141.28,6.2,33.8,13.3883,GREEN
1,8581.24,4.9,174.68,-35.6989,GREEN
1,15921.63,4.8,99.739,19.8258,GREEN
1,37711.63,6.9,112.358,26.4396,GREEN
1,4922.53,5.2,94.716,27.8115,GREEN
1,15356.31,5.1,124.73,6.7719,GREEN
2,418317.13,7.5,-94.7944,42.78,GREEN
2,24415.42,5.5,27.426,42.9445,GREEN
2,55465.25,7.7,-53.547,-24.3541,GREEN
1.5,182971.35,7.3,94.3696,55.332,GREEN
1.5,113685.43,6.2,-94.274,16.5997,GREEN
1.5,35525.25,6.7,57.2544,34.3756,BLUE
1,45994.3,5.7,113.342,23.2652,GREEN
1.5,1337.47,5,8.1668,7.66215,GREEN
1.5,4423.93,5.7,68.178,35.6352,GREEN
2,251.27,6.3,111.467,27.3821,GREEN
1.5,41719.46,5.6,69.3787,38.4853,GREEN
1.5,11256.33,5.2,13.13,43.3979,GREEN
1,22249.34,5.2,38.9442,-7.66435,GREEN
2,115747.69,6.1,19.2236,44.56,GREEN
1.5,8743.69,6.3,24.494,44.617,GREEN
1.5,18498.39,5.6,38.9689,-7.1931,BLUE
1.5,83722.34,6.5,66.4342,35.834,ORANGE
2,26469.81,6,-84.9465,31.2966,GREEN
1.5,82418.56,6,-87.6188,31.8585,GREEN
1.5,69876.78,5.9,-7.2984,-38.3652,GREEN
2,548.75,4.9,16.342,-9.67763,GREEN
1.5,137639.19,7.7,25.674,-21.5153,BLUE
1.5,25162.12,6.4,15.117,-26.2415,GREEN
1.5,5322.79,5.7,-89.1282,31.4244,GREEN
1,1725.64,6,31.3479,-21.5196,GREEN
1,6829.57,5,-57.5833,-25.225,GREEN
2,3237.42,5.1,29.6499,-4.1441,YELLOW
2,115.84,4.2,172.613,-43.4538,YELLOW
1.5,34.8366,2.6,168.729,7.3951,YELLOW
1,48197.88,6.9,31.5459,-24.4459,GREEN
1.5,82989.45,6.4,7.993,43.9958,GREEN
1.5,35769.22,6.2,17.76,-6.6324,GREEN
1,426979.84,6.4,131.732,-14.3299,GREEN
1.5,72462.23,6.4,28.9231,-2.244,GREEN
1.5,142586.1,6.7,3.8531,-17.257,GREEN
2,381576.65,7.9,-64.135,-13.3888,GREEN
1,74144.66,5.5,-71.5232,-12.4186,GREEN
1,1669.91,5.4,-86.7899,37.5597,GREEN
1,83.232,3.9,-6.9886,13.9188,GREEN
2,314284.91,6.9,-41.9423,-18.9538,BLUE
1,22524.63,5.2,97.2893,4.4813,BLUE
1.5,126149.79,6.9,-1.51144,53.2732,BLUE
1.5,38676.71,6,1.395,7.2182,GREEN
1,7627.3,4.8,-81.3958,22.943,GREEN
1,65791.14,6.4,13.217,15.13,GREEN
1.5,16697.53,6.1,12.362,3.58444,GREEN
2,51279.6,5.6,7.5336,53.4431,GREEN
1.5,181848.2,6.5,57.4276,21.6819,GREEN
1.5,361386.84,6,44.884,27.4145,GREEN
1.5,48985.15,5.6,17.76,15.5821,BLUE
2,15699.75,4.8,9.455,4.38,GREEN
2,38936.39,5.9,-98.111,3.667,GREEN
2,32476.99,5.9,125.52,11.4452,GREEN
1,111.43,6.3,31.7933,7.33928,GREEN
1.5,12661.14,6.7,85.9321,24.7174,GREEN
1.5,25352.53,6.2,-76.1873,-8.5735,GREEN
1.5,3123.66,5.6,99.6771,2.95415,GREEN
1.5,41577.16,5.6,12.573,29.15,GREEN
1,172574.26,6.1,28.8241,7.73724,GREEN
2,54531.7,5.5,121.192,16.6413,GREEN
2,246385.23,6.2,84.2495,21.2719,GREEN
1.5,52283.25,6.1,15.84,12.658,ORANGE
2,144.4,6.3,-15.143,38.24,GREEN
1.5,178191.77,6.3,7.63747,1.5244,GREEN
2,7171.77,4.9,27.5529,45.7492,GREEN
1.5,98182.91,6,113.694,22.7696,GREEN
1.5,93531.74,5.7,1.184,35.9161,GREEN
2,5412.4,6,121.142,16.3191,GREEN
2,143155.56,8.3,13.272,5.5323,GREEN
1.5,462763.9,7,69.165,28.744,GREEN
1.5,12525.85,6.4,98.1556,18.3122,GREEN
1.5,123143.44,5.7,-94.1535,38.2138,GREEN
2,12479.27,6.2,128.424,5.43,GREEN
1.5,549425.38,6.8,7.6377,32.8144,ORANGE
1.5,14638.92,7.5,28.9896,13.6883,GREEN
1,947.26,4.4,35.288,1.6676,GREEN
1.5,131222.52,6.4,-57.6536,-24.146,GREEN
1,21695.38,5.1,126.319,39.6151,GREEN
1.5,11222.53,5.9,18.355,23.867,GREEN
1.5,1185.92,5.7,118.14,25.8633,GREEN
1.5,419827.15,6.8,14.22,3.4563,GREEN
1,32196.91,5.2,14.85,17.6991,GREEN
2,3819.26,6.2,94.9182,27.387,GREEN
2,37926.47,6.7,-19.647,51.2434,GREEN
1,1527.5,6.1,82.5285,21.9781,GREEN
1.5,42497.49,5.4,17.669,-44.3589,GREEN
1.5,1779.48,6.4,-91.6341,37.898,GREEN
2,24123.7,7,12.189,49.1358,GREEN
1.5,2871.86,5.5,1.478,61.2832,GREEN
1,1235.44,6.1,-93.3867,41.9211,GREEN
2,3397.85,5.4,-98.8879,28.899,GREEN
1,125894.94,5.6,-74.5465,3.66687,GREEN
1,17254.1,4.8,8.5325,7.13528,GREEN
1.5,84761.74,6.3,114.464,23.6387,YELLOW
1.5,72847.78,5.5,91.194,23.6387,GREEN
2,243476.26,6.9,43.6553,2.16964,GREEN
1,17152.64,5.3,98.6181,3.84919,GREEN
1,63162.34,6.8,133.329,68.1591,GREEN
1,14653.47,5,68.8486,36.9291,GREEN
1,4318.94,5.1,-97.5977,48.5643,GREEN
1.5,493136.77,6.8,-88.641,38.8278,GREEN
1,81437.6,7.3,52.3938,22.7624,GREEN
1,27293.22,5.8,45.7365,3.38671,GREEN
1,334.87,5,19.6182,42.43,GREEN
2,18135.4,5.4,-58.6759,-34.489,YELLOW
1.5,1679.67,4,57.5238,-2.235,GREEN
1.5,215662.54,6.5,31.2168,6.6426,GREEN
1.5,7317.41,6.6,36.718,2.46174,YELLOW
1.5,53241.3,5.5,-3.8141,4.2882,GREEN
1.5,74437.68,6.9,-7.9926,-16.5124,GREEN
1,2985.69,4.1,-25.5351,37.8419,GREEN
1,591.43,4.7,2.54269,43.2579,GREEN
1,12282.15,4.8,-2.9421,37.8967,GREEN
1,195.17,6.2,22.6244,-17.8146,GREEN
1,37.4,4.5,21.5776,42.48,GREEN
1,9339.75,4.9,11.38,6.46589,GREEN
1,2456.1,6.3,149.832,-24.971,GREEN
1,3584.22,5.8,12.26,4.29951,GREEN
1.5,421.51,4.9,14.265,-2.41871,GREEN
1,2432.33,4.5,39.2468,44.3289,GREEN
1,28873.67,4.9,124.58,1.256,GREEN
1,21653.62,4.8,1.565,0.733498,GREEN
1,245461.58,7.3,144.477,-5.88736,GREEN
2,577782.56,6.8,-69.94,-2.3461,BLUE
1.5,19859.48,6.7,25.646,-2.3766,BLUE
1.5,451.786,3.6,55.4243,-4.6943,BLUE
1.5,121219.24,7.2,144.818,-19.3725,GREEN
1.5,83155.21,6.8,32.6773,-24.86,ORANGE
1,71113.5,5.6,36.5172,0.5824,GREEN
1,295.7,6.1,35.227,-15.6178,GREEN
2,1746.34,4.5,16.73,-6.17945,BLUE
1.5,29142.93,5.1,36.452,32.8398,GREEN
1.5,2663.39,5.6,8.9219,7.59777,YELLOW
1.5,318648.95,6.5,-76.4573,-9.28298,YELLOW
1,51781.98,5.6,125.38,7.25699,YELLOW
1,6143.56,4.7,118.626,9.88586,YELLOW
1,29317.81,5.4,11.661,5.486,YELLOW
1,676.2,5.7,121.883,-3.8672,GREEN
1.5,5668.1,4.6,39.134,44.2559,GREEN
1,211.51,4.8,3.1336,-3.568,GREEN
1.5,4984.64,5.3,8.7759,7.97653,GREEN
1,1686.88,6.5,-1.19371,53.4569,GREEN
1,31978.97,5.1,13.73,2.61996,GREEN
1.5,377212.55,6.9,-59.6252,-27.525,GREEN
1,1536.67,4.7,28.797,39.593,GREEN
2,6824.32,5.1,124.469,7.98723,YELLOW
1.5,66842.9,5.9,12.4131,43.165,GREEN
1,12226.85,4.9,-3.62785,37.752,GREEN
1,55785.44,5.4,12.61,2.8771,GREEN
2,12682.83,6.1,78.842,11.8283,GREEN
